date,product,quantity,price,customer_id
2024-01-03,Wireless Mouse,2,29.99,C001
2024-01-03,USB Cable Pack,5,9.99,C002
2024-01-04,Bluetooth Speaker,1,49.99,C003
2024-01-05,Desk Lamp,1,34.99,C001
2024-01-05,Notebook Set,3,12.99,C004
2024-01-06,Wireless Mouse,1,29.99,C005
2024-01-07,USB Cable Pack,2,9.99,C006
2024-01-08,Bluetooth Speaker,1,49.99,C007
2024-01-09,Desk Lamp,2,34.99,C002
2024-01-10,Notebook Set,1,12.99,C008
2024-01-10,Wireless Mouse,3,29.99,C009
2024-01-11,USB Cable Pack,4,9.99,C010
2024-01-12,Bluetooth Speaker,1,49.99,C001
2024-01-13,Desk Lamp,1,34.99,C003
2024-01-14,Notebook Set,2,12.99,C011
2024-01-15,Wireless Mouse,1,29.99,C012
2024-01-16,USB Cable Pack,3,9.99,C004
2024-01-17,Bluetooth Speaker,2,49.99,C013
2024-01-18,Desk Lamp,1,34.99,C005
2024-01-19,Notebook Set,4,12.99,C014
2024-01-20,Wireless Mouse,2,29.99,C006
2024-01-21,USB Cable Pack,1,9.99,C015
2024-01-22,Bluetooth Speaker,1,49.99,C002
2024-01-23,Desk Lamp,3,34.99,C016
2024-01-24,Notebook Set,1,12.99,C007
2024-01-25,Wireless Mouse,1,29.99,C017
2024-01-26,USB Cable Pack,6,9.99,C008
2024-01-27,Bluetooth Speaker,1,49.99,C018
2024-01-28,Desk Lamp,2,34.99,C009
2024-01-29,Notebook Set,3,12.99,C001
2024-01-30,Wireless Mouse,2,29.99,C019
2024-01-31,USB Cable Pack,2,9.99,C010
2024-02-01,Bluetooth Speaker,1,49.99,C020
2024-02-02,Desk Lamp,1,34.99,C011
2024-02-03,Notebook Set,2,12.99,C003
2024-02-04,Wireless Mouse,3,29.99,C012
2024-02-05,USB Cable Pack,1,9.99,C021
2024-02-06,Bluetooth Speaker,2,49.99,C004
2024-02-07,Desk Lamp,1,34.99,C022
2024-02-08,Notebook Set,1,12.99,C013
2024-02-09,Wireless Mouse,1,29.99,C023
2024-02-10,USB Cable Pack,4,9.99,C005
2024-02-11,Bluetooth Speaker,1,49.99,C014
2024-02-12,Desk Lamp,2,34.99,C024
2024-02-13,Notebook Set,3,12.99,C006
2024-02-14,Wireless Mouse,2,29.99,C025
2024-02-15,USB Cable Pack,1,9.99,C015
2024-02-16,Bluetooth Speaker,1,49.99,C001
2024-02-17,Desk Lamp,1,34.99,C026
2024-02-18,Notebook Set,2,12.99,C016
2024-02-19,Wireless Mouse,1,29.99,C002
2024-02-20,USB Cable Pack,3,9.99,C027
2024-02-21,Bluetooth Speaker,2,49.99,C007
2024-02-22,Desk Lamp,1,34.99,C017
2024-02-23,Notebook Set,1,12.99,C028
2024-02-24,Wireless Mouse,4,29.99,C008
2024-02-25,USB Cable Pack,2,9.99,C018
2024-02-26,Bluetooth Speaker,1,49.99,C029
2024-02-27,Desk Lamp,3,34.99,C009
2024-02-28,Notebook Set,2,12.99,C019
2024-03-01,Wireless Mouse,1,29.99,C030
2024-03-02,USB Cable Pack,5,9.99,C010
2024-03-03,Bluetooth Speaker,1,49.99,C020
2024-03-04,Desk Lamp,2,34.99,C001
2024-03-05,Notebook Set,1,12.99,C031
2024-03-06,Wireless Mouse,2,29.99,C011
2024-03-07,USB Cable Pack,1,9.99,C021
2024-03-08,Bluetooth Speaker,3,49.99,C012
2024-03-09,Desk Lamp,1,34.99,C032
2024-03-10,Notebook Set,4,12.99,C003
2024-03-11,Wireless Mouse,1,29.99,C022
